"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
65,"__amd_rocclr_fillBuffer.kd",0,0,128,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056398731,429238056410443,429238056416683,429238056420603,6240
66,"__amd_rocclr_fillBuffer.kd",0,0,130,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056435130,429238056446208,429238056451328,429238056455108,5120
67,"__amd_rocclr_fillBuffer.kd",0,0,132,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056468643,429238056479067,429238056482587,429238056486327,3520
68,"__amd_rocclr_fillBuffer.kd",0,0,134,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056498370,429238056508953,429238056511993,429238056515753,3040
69,"__amd_rocclr_fillBuffer.kd",0,0,136,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056527625,429238056537627,429238056540987,429238056544567,3360
70,"__amd_rocclr_fillBuffer.kd",0,0,138,49476,49503,1024,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056557291,429238056567534,429238056570734,429238056574354,3200
71,"__amd_rocclr_fillBuffer.kd",0,0,140,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056587238,429238056597540,429238056600580,429238056604330,3040
72,"__amd_rocclr_fillBuffer.kd",0,0,142,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056616613,429238056626495,429238056629535,429238056633295,3040
73,"__amd_rocclr_fillBuffer.kd",0,0,144,49476,49503,1024,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056643023,429238056652976,429238056656336,429238056659925,3360
74,"__amd_rocclr_fillBuffer.kd",0,0,146,49476,49503,31488,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056671988,429238056682548,429238056689268,429238056693018,6720
75,"__amd_rocclr_fillBuffer.kd",0,0,148,49476,49503,31488,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056705902,429238056716302,429238056723022,429238056726762,6720
76,"__amd_rocclr_fillBuffer.kd",0,0,150,49476,49503,8960,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056739155,429238056749480,429238056753640,429238056757239,4160
77,"__amd_rocclr_fillBuffer.kd",0,0,152,49476,49503,47360,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056769232,429238056779652,429238056786372,429238056790111,6720
78,"__amd_rocclr_fillBuffer.kd",0,0,154,49476,49503,47360,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056802254,429238056812394,429238056819274,429238056823033,6880
79,"__amd_rocclr_fillBuffer.kd",0,0,156,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056836038,429238056847022,429238056850062,429238056853812,3040
80,"__amd_rocclr_fillBuffer.kd",0,0,158,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056862408,429238056872584,429238056877864,429238056881604,5280
81,"__amd_rocclr_fillBuffer.kd",0,0,160,49476,49503,47360,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056890171,429238056900270,429238056907310,429238056911050,7040
82,"__amd_rocclr_fillBuffer.kd",0,0,162,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056920127,429238056930364,429238056935484,429238056939393,5120
83,"__amd_rocclr_fillBuffer.kd",0,0,164,49476,49503,47360,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056948030,429238056958761,429238056965801,429238056969801,7040
84,"__amd_rocclr_fillBuffer.kd",0,0,166,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056984108,429238056994982,429238056998182,429238057001982,3200
85,"k_estimate_storages(reax_atom*, single_body_parameters*, two_body_parameters*, control_params*, reax_list, int, int, int, int, int*, int*, int*, int*, int*, int*) [clone .kd]",0,0,169,49476,49503,15872,256,0,0,56,120,13376,0x0,0x7efcbd579b80,429238058954533,429238058968876,429238062766461,429238062777911,3797585
